word,field,synonym,specificity_boost
demonstrate,Medical,substantiate,0.3
demonstrate,Medical,evince,0.5
demonstrate,Engineering,corroborate,0.4
demonstrate,Engineering,substantiate,0.3
demonstrate,Humanities,illustrate,0.2
demonstrate,Humanities,evince,0.5
significant,Medical,clinically meaningful,0.6
significant,Medical,statistically appreciable,0.5
significant,Engineering,non-negligible,0.4
significant,Engineering,substantive,0.3
significant,Humanities,consequential,0.4
significant,Humanities,pivotal,0.5
important,Medical,critical,0.3
important,Medical,paramount,0.5
important,Engineering,pivotal,0.4
important,Engineering,critical,0.3
important,Humanities,salient,0.4
important,Humanities,consequential,0.5
show,Medical,elucidate,0.5
show,Medical,delineate,0.4
show,Engineering,corroborate,0.4
show,Engineering,ascertain,0.5
show,Humanities,elucidate,0.5
show,Humanities,bring to light,0.6
indicate,Medical,suggest,0.2
indicate,Medical,portend,0.5
indicate,Engineering,betoken,0.6
indicate,Engineering,signify,0.3
indicate,Humanities,suggest,0.2
indicate,Humanities,imply,0.2
increase,Medical,escalate,0.4
increase,Medical,proliferate,0.5
increase,Engineering,augment,0.3
increase,Engineering,amplify,0.4
increase,Humanities,magnify,0.4
increase,Humanities,intensify,0.3
decrease,Medical,attenuate,0.5
decrease,Medical,diminish,0.3
decrease,Engineering,decrement,0.5
decrease,Engineering,attenuate,0.5
decrease,Humanities,dwindle,0.5
decrease,Humanities,contract,0.4
cause,Medical,elicit,0.4
cause,Medical,engender,0.5
cause,Engineering,precipitate,0.5
cause,Engineering,engender,0.5
cause,Humanities,engender,0.5
cause,Humanities,occasion,0.6
find,Medical,ascertain,0.5
find,Medical,uncover,0.4
find,Engineering,discern,0.5
find,Engineering,identify,0.3
find,Humanities,discover,0.3
find,Humanities,unearth,0.6
use,Medical,employ,0.3
use,Medical,utilize,0.2
use,Engineering,deploy,0.4
use,Engineering,harness,0.5
use,Humanities,invoke,0.4
use,Humanities,wield,0.5
make,Medical,render,0.4
make,Medical,constitute,0.5
make,Engineering,fabricate,0.5
make,Engineering,render,0.4
make,Humanities,render,0.4
make,Humanities,fashion,0.5
improve,Medical,ameliorate,0.5
improve,Medical,optimize,0.3
improve,Engineering,refine,0.4
improve,Engineering,enhance,0.3
improve,Humanities,ameliorate,0.5
improve,Humanities,elevate,0.4
examine,Medical,scrutinize,0.5
examine,Medical,investigate,0.3
examine,Engineering,probe,0.4
examine,Engineering,evaluate,0.3
examine,Humanities,interrogate,0.6
examine,Humanities,scrutinize,0.5
explain,Medical,explicate,0.5
explain,Medical,elucidate,0.4
explain,Engineering,delineate,0.4
explain,Engineering,explicate,0.5
explain,Humanities,explicate,0.5
explain,Humanities,expound,0.5
suggest,Medical,insinuate,0.5
suggest,Medical,intimate,0.5
suggest,Engineering,presume,0.4
suggest,Engineering,impute,0.6
suggest,Humanities,insinuate,0.5
